variable,label,labelLong,section,subject,variableType,units,databaseStart,variableStart
ace_med,ACE inhibitors,Taking ACE inhibitors,Health status,Medication,Categorical,N/A,"cycle1_meds, cycle2_meds, cycle3_meds, cycle4_meds, cycle5_meds, cycle6_meds","DerivedVar::[atc_101a, atc_102a, atc_103a, atc_104a, atc_105a, atc_106a, atc_107a, atc_108a, atc_109a, atc_110a, atc_111a, atc_112a, atc_113a, atc_114a, atc_115a, atc_201a, atc_202a, atc_203a, atc_204a, atc_205a, atc_206a, atc_207a, atc_208a, atc_209a, atc_210a, atc_211a, atc_212a, atc_213a, atc_214a, atc_215a, atc_131a, atc_132a, atc_133a, atc_134a, atc_135a, atc_231a, atc_232a, atc_233a, atc_234a, atc_235a, mhr_101b, mhr_102b, mhr_103b, mhr_104b, mhr_105b, mhr_106b, mhr_107b, mhr_108b, mhr_109b, mhr_110b, mhr_111b, mhr_112b, mhr_113b, mhr_114b, mhr_115b, mhr_201b, mhr_202b, mhr_203b, mhr_204b, mhr_205b, mhr_206b, mhr_207b, mhr_208b, mhr_209b, mhr_210b, mhr_211b, mhr_212b, mhr_213b, mhr_214b, mhr_215b, mhr_131b, mhr_132b, mhr_133b, mhr_134b, mhr_135b, mhr_231b, mhr_232b, mhr_233b, mhr_234b, mhr_235b]; DerivedVar::[meucatc, npi_25b]"
adj_hh_income,Adjusted household income,Adjusted total household income based on household size,Socioeconomic,Income,Continuous,$,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6","DerivedVar::[thi_01, dhhdsz]"
agegroup2079,Age ,Converted age (2 groups),Sociodemographics,Age,Categorical,N/A,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6","cycle6::CLC_AGE, [clc_age]"
agegroup4,Age ,Converted age (4 groups),Sociodemographics,Age,Categorical,N/A,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6","cycle6::CLC_AGE, [clc_age]"
alc_11,Drank in past year,Drank alcohol - past 12 months,Health behaviour,Alcohol,Categorical,N/A,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6","cycle6:: ALC_11, [alc_11]"
alc_17,Ever drank alcohol,Ever had a drink,Health behaviour,Alcohol,Categorical,N/A,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6","cycle6::ALC_17, [alc_17]"
alc_18,Drank alcohol regularly,Regularly drank more than 12 drinks a week,Health behaviour,Alcohol,Categorical,N/A,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6","cycle6::ALC_18, [alc_18]"
alc_detailed_risk_score,Alcohol consumption level,Low risk drinking score - former/never drinking categories,Health behaviour,Alcohol,Categorical,N/A,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6","DerivedVar::[clc_sex, alc_11, alcdwky, alc_17, alc_18]"
alc_risk_score,Alcohol consumption level,Low risk drinking score ,Health behaviour,Alcohol,Categorical,N/A,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6","DerivedVar::[clc_sex, alc_11, alcdwky]"
alcdwky,Drinks in week,"	Weekly consumption - (D)",Health behaviour,Alcohol,Continuous,drinks/week,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6","cycle6::ALCDWKY, [alcdwky]"
ammdmva1,Minutes of exercise per day (accelerometer Day 1),Total moderate-to-vigorous physical activity - Day 1 (min/day),Health behaviour,Exercise,Continuous,minutes/day,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6","cycle1::amsdmva1, cycle6::AMMDMVA1, [ammdmva1]"
ammdmva2,Minutes of exercise per day (accelerometer Day 2),Total moderate-to-vigorous physical activity - Day 2 (min/day),Health behaviour,Exercise,Continuous,minutes/day,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6","cycle1::amsdmva2, cycle6::AMMDMVA2, [ammdmva2]"
ammdmva3,Minutes of exercise per day (accelerometer Day 3),Total moderate-to-vigorous physical activity - Day 3 (min/day),Health behaviour,Exercise,Continuous,minutes/day,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6","cycle1::amsdmva3, cycle6::AMMDMVA3, [ammdmva3]"
ammdmva4,Minutes of exercise per day (accelerometer Day 4),Total moderate-to-vigorous physical activity - Day 4 (min/day),Health behaviour,Exercise,Continuous,minutes/day,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6","cycle1::amsdmva4, cycle6::AMMDMVA4, [ammdmva4]"
ammdmva5,Minutes of exercise per day (accelerometer Day 5),Total moderate-to-vigorous physical activity - Day 5 (min/day),Health behaviour,Exercise,Continuous,minutes/day,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6","cycle1::amsdmva5, cycle6::AMMDMVA5, [ammdmva5]"
ammdmva6,Minutes of exercise per day (accelerometer Day 6),Total moderate-to-vigorous physical activity - Day 6 (min/day),Health behaviour,Exercise,Continuous,minutes/day,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6","cycle1::amsdmva6, cycle6::AMMDMVA6, [ammdmva6]"
ammdmva7,Minutes of exercise per day (accelerometer Day 7),Total moderate-to-vigorous physical activity - Day 7 (min/day),Health behaviour,Exercise,Continuous,minutes/day,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6","cycle1::amsdmva7, cycle6::AMMDMVA7, [ammdmva7]"
any_htn_med,Antihypertension medication,Taking ANY antihypertension drugs,Health status,Medication,Categorical,N/A,"cycle1_meds, cycle2_meds, cycle3_meds, cycle4_meds, cycle5_meds, cycle6_meds","DerivedVar::[atc_101a, atc_102a, atc_103a, atc_104a, atc_105a, atc_106a, atc_107a, atc_108a, atc_109a, atc_110a, atc_111a, atc_112a, atc_113a, atc_114a, atc_115a, atc_201a, atc_202a, atc_203a, atc_204a, atc_205a, atc_206a, atc_207a, atc_208a, atc_209a, atc_210a, atc_211a, atc_212a, atc_213a, atc_214a, atc_215a, atc_131a, atc_132a, atc_133a, atc_134a, atc_135a, atc_231a, atc_232a, atc_233a, atc_234a, atc_235a, mhr_101b, mhr_102b, mhr_103b, mhr_104b, mhr_105b, mhr_106b, mhr_107b, mhr_108b, mhr_109b, mhr_110b, mhr_111b, mhr_112b, mhr_113b, mhr_114b, mhr_115b, mhr_201b, mhr_202b, mhr_203b, mhr_204b, mhr_205b, mhr_206b, mhr_207b, mhr_208b, mhr_209b, mhr_210b, mhr_211b, mhr_212b, mhr_213b, mhr_214b, mhr_215b, mhr_131b, mhr_132b, mhr_133b, mhr_134b, mhr_135b, mhr_231b, mhr_232b, mhr_233b, mhr_234b, mhr_235b]; DerivedVar::[meucatc, npi_25b]"
any_htn_med2,Antihypertension medication,Taking ANY antihypertension drugs,Health status,Medication,Categorical,N/A,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6","cycle6::ANY_HTN_MED2, [any_htn_med2]"
atc_101a,First prescription medication - ATC,First prescription medication - ATC,Health status,Medication,Categorical,N/A,"cycle1_meds, cycle2_meds","cycle1_meds::ATC_101A, [atc_101a]"
atc_102a,Second prescription medication - ATC,Second prescription medication - ATC,Health status,Medication,Categorical,N/A,"cycle1_meds, cycle2_meds","cycle1_meds::ATC_102A, [atc_102a]"
atc_103a,Third prescription medication - ATC,Third prescription medication - ATC,Health status,Medication,Categorical,N/A,"cycle1_meds, cycle2_meds","cycle1_meds::ATC_103A, [atc_103a]"
atc_104a,Fourth prescription medication - ATC,Fourth prescription medication - ATC,Health status,Medication,Categorical,N/A,"cycle1_meds, cycle2_meds","cycle1_meds::ATC_104A, [atc_104a]"
atc_105a,Fifth prescription medication - ATC,Fifth prescription medication - ATC,Health status,Medication,Categorical,N/A,"cycle1_meds, cycle2_meds","cycle1_meds::ATC_105A, [atc_105a]"
atc_106a,Sixth prescription medication - ATC,Sixth prescription medication - ATC,Health status,Medication,Categorical,N/A,"cycle1_meds, cycle2_meds","cycle1_meds::ATC_106A, [atc_106a]"
atc_107a,Seventh prescription medication - ATC,Seventh prescription medication - ATC,Health status,Medication,Categorical,N/A,"cycle1_meds, cycle2_meds","cycle1_meds::ATC_107A, [atc_107a]"
atc_108a,Eighth prescription medication - ATC,Eighth prescription medication - ATC,Health status,Medication,Categorical,N/A,"cycle1_meds, cycle2_meds","cycle1_meds::ATC_108A, [atc_108a]"
atc_109a,Ninth prescription medication - ATC,Ninth prescription medication - ATC,Health status,Medication,Categorical,N/A,"cycle1_meds, cycle2_meds","cycle1_meds::ATC_109A, [atc_109a]"
atc_110a,Tenth prescription medication - ATC,Tenth prescription medication - ATC,Health status,Medication,Categorical,N/A,"cycle1_meds, cycle2_meds","cycle1_meds::ATC_110A, [atc_110a]"
atc_111a,Eleventh prescription medication - ATC,Eleventh prescription medication - ATC,Health status,Medication,Categorical,N/A,"cycle1_meds, cycle2_meds","cycle1_meds::ATC_111A, [atc_111a]"
atc_112a,Twelfth prescription medication - ATC,Twelfth prescription medication - ATC,Health status,Medication,Categorical,N/A,"cycle1_meds, cycle2_meds","cycle1_meds::ATC_112A, [atc_112a]"
atc_113a,Thirteenth prescription medication - ATC,Thirteenth prescription medication - ATC,Health status,Medication,Categorical,N/A,"cycle1_meds, cycle2_meds","cycle1_meds::ATC_113A, [atc_113a]"
atc_114a,Fourteenth prescription medication - ATC,Fourteenth prescription medication - ATC,Health status,Medication,Categorical,N/A,"cycle1_meds, cycle2_meds","cycle1_meds::ATC_114A, [atc_114a]"
atc_115a,Fifteenth prescription medication - ATC,Fifteenth prescription medication - ATC,Health status,Medication,Categorical,N/A,"cycle1_meds, cycle2_meds","cycle1_meds::ATC_115A, [atc_115a]"
atc_131a,First new prescription medication - ATC,First new prescription medication - ATC,Health status,Medication,Categorical,N/A,"cycle1_meds, cycle2_meds","cycle1_meds::ATC_131A, [atc_131a]"
atc_132a,Second new prescription medication - ATC,Second new prescription medication - ATC,Health status,Medication,Categorical,N/A,"cycle1_meds, cycle2_meds","cycle1_meds::ATC_132A, [atc_132a]"
atc_133a,Third new prescription medication - ATC,Third new prescription medication - ATC,Health status,Medication,Categorical,N/A,"cycle1_meds, cycle2_meds","cycle1_meds::ATC_133A, [atc_133a]"
atc_134a,Fourth new prescription medication - ATC,Fourth new prescription medication - ATC,Health status,Medication,Categorical,N/A,"cycle1_meds, cycle2_meds","cycle1_meds::ATC_134A, [atc_134a]"
atc_135a,Fifteenth new prescription medication - ATC,Fifteenth new prescription medication - ATC,Health status,Medication,Categorical,N/A,"cycle1_meds, cycle2_meds","cycle1_meds::ATC_135A, [atc_135a]"
atc_201a,First over-the-counter medication - ATC ,First over-the-counter medication - ATC ,Health status,Medication,Categorical,N/A,"cycle1_meds, cycle2_meds","cycle1_meds::ATC_201A, [atc_201a]"
atc_202a,Second over-the-counter medication - ATC ,Second over-the-counter medication - ATC ,Health status,Medication,Categorical,N/A,"cycle1_meds, cycle2_meds","cycle1_meds::ATC_202A, [atc_202a]"
atc_203a,Third over-the-counter medication - ATC ,Third over-the-counter medication - ATC ,Health status,Medication,Categorical,N/A,"cycle1_meds, cycle2_meds","cycle1_meds::ATC_203A, [atc_203a]"
atc_204a,Fourth over-the-counter medication - ATC,Fourth over-the-counter medication - ATC,Health status,Medication,Categorical,N/A,"cycle1_meds, cycle2_meds","cycle1_meds::ATC_204A, [atc_204a]"
atc_205a,Fifth over-the-counter medication - ATC ,Fifth over-the-counter medication - ATC ,Health status,Medication,Categorical,N/A,"cycle1_meds, cycle2_meds","cycle1_meds::ATC_205A, [atc_205a]"
atc_206a,Sixth over-the-counter medication - ATC ,Sixth over-the-counter medication - ATC ,Health status,Medication,Categorical,N/A,"cycle1_meds, cycle2_meds","cycle1_meds::ATC_206A, [atc_206a]"
atc_207a,Seventh over-the-counter medication - ATC ,Seventh over-the-counter medication - ATC ,Health status,Medication,Categorical,N/A,"cycle1_meds, cycle2_meds","cycle1_meds::ATC_207A, [atc_207a]"
atc_208a,Eighth over-the-counter medication - ATC ,Eighth over-the-counter medication - ATC ,Health status,Medication,Categorical,N/A,"cycle1_meds, cycle2_meds","cycle1_meds::ATC_208A, [atc_208a]"
atc_209a,Ninth over-the-counter medication - ATC ,Ninth over-the-counter medication - ATC ,Health status,Medication,Categorical,N/A,"cycle1_meds, cycle2_meds","cycle1_meds::ATC_209A, [atc_209a]"
atc_210a,Tenth over-the-counter medication - ATC ,Tenth over-the-counter medication - ATC ,Health status,Medication,Categorical,N/A,"cycle1_meds, cycle2_meds","cycle1_meds::ATC_210A, [atc_210a]"
atc_211a,Eleventh over-the-counter medication - ATC ,Eleventh over-the-counter medication - ATC ,Health status,Medication,Categorical,N/A,"cycle1_meds, cycle2_meds","cycle1_meds::ATC_211A, [atc_211a]"
atc_212a,Twelfth over-the-counter medication - ATC ,Twelfth over-the-counter medication - ATC ,Health status,Medication,Categorical,N/A,"cycle1_meds, cycle2_meds","cycle1_meds::ATC_212A, [atc_212a]"
atc_213a,Thirteenth over-the-counter medication - ATC,Thirteenth over-the-counter medication - ATC,Health status,Medication,Categorical,N/A,"cycle1_meds, cycle2_meds","cycle1_meds::ATC_213A, [atc_213a]"
atc_214a,Fourteenth over-the-counter medication - ATC ,Fourteenth over-the-counter medication - ATC ,Health status,Medication,Categorical,N/A,"cycle1_meds, cycle2_meds","cycle1_meds::ATC_214A, [atc_214a]"
atc_215a,Fifteenth over-the-counter medication - ATC ,Fifteenth over-the-counter medication - ATC ,Health status,Medication,Categorical,N/A,"cycle1_meds, cycle2_meds","cycle1_meds::ATC_215A, [atc_215a]"
atc_231a,First new over-the-counter medication - ATC,First new over-the-counter medication - ATC,Health status,Medication,Categorical,N/A,"cycle1_meds, cycle2_meds","cycle1_meds::ATC_231A, [atc_231a]"
atc_232a,Second new over-the-counter medication - ATC,Second new over-the-counter medication - ATC,Health status,Medication,Categorical,N/A,"cycle1_meds, cycle2_meds","cycle1_meds::ATC_232A, [atc_232a]"
atc_233a,Third new over-the-counter medication - ATC,Third new over-the-counter medication - ATC,Health status,Medication,Categorical,N/A,"cycle1_meds, cycle2_meds","cycle1_meds::ATC_233A, [atc_233a]"
atc_234a,Fourth new over-the-counter medication - ATC,Fourth new over-the-counter medication - ATC,Health status,Medication,Categorical,N/A,"cycle1_meds, cycle2_meds","cycle1_meds::ATC_234A, [atc_234a]"
atc_235a,Fifteenth new over-the-counter medication - ATC,Fifteenth new over-the-counter medication - ATC,Health status,Medication,Categorical,N/A,"cycle1_meds, cycle2_meds","cycle1_meds::ATC_235A, [atc_235a]"
bb_med,Beta blockers,Taking beta blockers,Health status,Medication,Categorical,N/A,"cycle1_meds, cycle2_meds, cycle3_meds, cycle4_meds, cycle5_meds, cycle6_meds","DerivedVar::[atc_101a, atc_102a, atc_103a, atc_104a, atc_105a, atc_106a, atc_107a, atc_108a, atc_109a, atc_110a, atc_111a, atc_112a, atc_113a, atc_114a, atc_115a, atc_201a, atc_202a, atc_203a, atc_204a, atc_205a, atc_206a, atc_207a, atc_208a, atc_209a, atc_210a, atc_211a, atc_212a, atc_213a, atc_214a, atc_215a, atc_131a, atc_132a, atc_133a, atc_134a, atc_135a, atc_231a, atc_232a, atc_233a, atc_234a, atc_235a, mhr_101b, mhr_102b, mhr_103b, mhr_104b, mhr_105b, mhr_106b, mhr_107b, mhr_108b, mhr_109b, mhr_110b, mhr_111b, mhr_112b, mhr_113b, mhr_114b, mhr_115b, mhr_201b, mhr_202b, mhr_203b, mhr_204b, mhr_205b, mhr_206b, mhr_207b, mhr_208b, mhr_209b, mhr_210b, mhr_211b, mhr_212b, mhr_213b, mhr_214b, mhr_215b, mhr_131b, mhr_132b, mhr_133b, mhr_134b, mhr_135b, mhr_231b, mhr_232b, mhr_233b, mhr_234b, mhr_235b]; DerivedVar::[meucatc, npi_25b]"
bir_14,Birth weight,Birth weight - Grams,Health status,Weight,Continuous,g,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6","cycle6::BIR_14, [bir_14]"
bmi_category,Body mass index classification,Body mass index classification,Health status,Weight,Categorical,N/A,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6","cycle6::HWMDBMI, [hwmdbmi]"
bpmdpbpd,Diastolic blood pressure,Final average diastolic blood pressure (mmHg) - prevalence - (D),Health status,Blood pressure,Continuous,mmHg,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6","cycle6::BPMDPBPD, [bpmdpbpd]"
bpmdpbps,Systolic blood pressure,Final average systolic blood pressure (mmHg) - prevalence - (D),Health status,Blood pressure,Continuous,mmHg,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6","cycle6::BPMDPBPS, [bpmdpbps]"
ccb_med,Calcium channel blockers,Taking calcium channel blockers,Health status,Medication,Categorical,N/A,"cycle1_meds, cycle2_meds, cycle3_meds, cycle4_meds, cycle5_meds, cycle6_meds","DerivedVar::[atc_101a, atc_102a, atc_103a, atc_104a, atc_105a, atc_106a, atc_107a, atc_108a, atc_109a, atc_110a, atc_111a, atc_112a, atc_113a, atc_114a, atc_115a, atc_201a, atc_202a, atc_203a, atc_204a, atc_205a, atc_206a, atc_207a, atc_208a, atc_209a, atc_210a, atc_211a, atc_212a, atc_213a, atc_214a, atc_215a, atc_131a, atc_132a, atc_133a, atc_134a, atc_135a, atc_231a, atc_232a, atc_233a, atc_234a, atc_235a, mhr_101b, mhr_102b, mhr_103b, mhr_104b, mhr_105b, mhr_106b, mhr_107b, mhr_108b, mhr_109b, mhr_110b, mhr_111b, mhr_112b, mhr_113b, mhr_114b, mhr_115b, mhr_201b, mhr_202b, mhr_203b, mhr_204b, mhr_205b, mhr_206b, mhr_207b, mhr_208b, mhr_209b, mhr_210b, mhr_211b, mhr_212b, mhr_213b, mhr_214b, mhr_215b, mhr_131b, mhr_132b, mhr_133b, mhr_134b, mhr_135b, mhr_231b, mhr_232b, mhr_233b, mhr_234b, mhr_235b]; DerivedVar::[meucatc, npi_25b]"
ccc_32,High blood pressure medication ,Took high blood pressure medication - past month,Health status,Medication,Categorical,N/A,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6","cycle6::CCC_32, [ccc_32]"
