variable,,role,,label,,,,,labelLong,,,,,,,section,,subject,,variableType,,units,,databaseStart,,,,,variableStart,,,,,,,,description
ACEmed,,,,ACE inhibitors,,,,,Taking ACE inhibitors,,,,,,,Health status,,Medication,,Categorical,,N/A,,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,"DerivedVar::[MEUCATC, NPI_25B]",,,,,,,,
adj_hh_inc,,Predictor,,Adjusted household income,,,,,Adjusted total household income based on household size,,,,,,,Sociodemographics,,Income,,Continuous,,$,,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,"DerivedVar::[THI_01, DHHDHSZ]",,,,,,,,
agegroup2079,,Inclusion criteria,,Age ,,,,,Converted age (2 groups),,,,,,,Demographics,,Age,,Categorical,,N/A,,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,[CLC_AGE],,,,,,,,
agegroup4,,Predictor,,Age ,,,,,Converted age (4 groups),,,,,,,Demographics,,Age,,Categorical,,N/A,,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,[CLC_AGE],,,,,,,,
ALC_11,,Intermediate,,Drank in past year,,,,,Drank alcohol - past 12 months,,,,,,,Health behaviour,,Alcohol,,Categorical,,N/A,,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,[ALC_11],,,,,,,,
ALC_17,,Intermediate,,Ever drank alcohol,,,,,Ever had a drink,,,,,,,Health behaviour,,Alcohol,,Categorical,,N/A,,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,[ALC_17],,,,,,,,
ALCDWKY,,Intermediate,,Drinks in week,,,,,	Weekly consumption - (D),,,,,,,Health behaviour,,Alcohol,,Continuous,,drinks/week,,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,[ALCDWKY],,,,,,,,
AMMDMVA1,,Intermediate,,Minutes of exercise per day (accelerometer Day 1),,,,,Total moderate-to-vigorous physical activity - Day 1 (min/day),,,,,,,Health behaviour,,Exercise,,Continuous,,minutes/day,,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,"cycle1::AMSDMVA1, [AMMDMVA1]",,,,,,,,
AMMDMVA2,,Intermediate,,Minutes of exercise per day (accelerometer Day 2),,,,,Total moderate-to-vigorous physical activity - Day 2 (min/day),,,,,,,Health behaviour,,Exercise,,Continuous,,minutes/day,,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,"cycle1::AMSDMVA2, [AMMDMVA2]",,,,,,,,
AMMDMVA3,,Intermediate,,Minutes of exercise per day (accelerometer Day 3),,,,,Total moderate-to-vigorous physical activity - Day 3 (min/day),,,,,,,Health behaviour,,Exercise,,Continuous,,minutes/day,,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,"cycle1::AMSDMVA3, [AMMDMVA3]",,,,,,,,
AMMDMVA4,,Intermediate,,Minutes of exercise per day (accelerometer Day 4),,,,,Total moderate-to-vigorous physical activity - Day 4 (min/day),,,,,,,Health behaviour,,Exercise,,Continuous,,minutes/day,,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,"cycle1::AMSDMVA4, [AMMDMVA4]",,,,,,,,
AMMDMVA5,,Intermediate,,Minutes of exercise per day (accelerometer Day 5),,,,,Total moderate-to-vigorous physical activity - Day 5 (min/day),,,,,,,Health behaviour,,Exercise,,Continuous,,minutes/day,,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,"cycle1::AMSDMVA5, [AMMDMVA5]",,,,,,,,
AMMDMVA6,,Intermediate,,Minutes of exercise per day (accelerometer Day 6),,,,,Total moderate-to-vigorous physical activity - Day 6 (min/day),,,,,,,Health behaviour,,Exercise,,Continuous,,minutes/day,,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,"cycle1::AMSDMVA6, [AMMDMVA6]",,,,,,,,
AMMDMVA7,,Intermediate,,Minutes of exercise per day (accelerometer Day 7),,,,,Total moderate-to-vigorous physical activity - Day 7 (min/day),,,,,,,Health behaviour,,Exercise,,Continuous,,minutes/day,,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,"cycle1::AMSDMVA7, [AMMDMVA7]",,,,,,,,
ANYmed,,Intermediate,,Antihypertension medication,,,,,Taking ANY antihypertension drugs,,,,,,,Health status,,Medication,,Categorical,,N/A,,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,"DerivedVar::[MEUCATC, NPI_25B]",,,,,,,,
BBmed,,,,Beta blockers,,,,,Taking beta blockers,,,,,,,Health status,,Medication,,Categorical,,N/A,,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,"DerivedVar::[MEUCATC, NPI_25B]",,,,,,,,
BPMDPBPD,,Intermediate,,Diastolic blood pressure,,,,,Final average diastolic blood pressure (mmHg) - prevalence - (D),,,,,,,Health status,,Blood pressure,,Continuous,,mmHg,,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,[BPMDPBPD],,,,,,,,
BPMDPBPS ,,Intermediate,,Systolic blood pressure,,,,,Final average systolic blood pressure (mmHg) - prevalence - (D),,,,,,,Health status,,Blood pressure,,Continuous,,mmHg,,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,[BPMDPBPS],,,,,,,,
cardiov,,Predictor,,Cardiovascular disease,,,,,Cardiovascular disease - heart disease OR stroke,,,,,,,Health status,,Chronic disease,,Categorical,,N/A,,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,"DerivedVar::[CCC_61, CCC_63, CCC_81]",,,,,,,,
CCBmed,,,,Calcium channel blockers,,,,,Taking calcium channel blockers,,,,,,,Health status,,Medication,,Categorical,,N/A,,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,"DerivedVar::[MEUCATC, NPI_25B]",,,,,,,,
CCC_51,,Predictor,,Diabetes,,,,,Has diabetes,,,,,,,Health status,,Chronic disease,,Categorical,,N/A,,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,[CCC_51],,,,,,,,
CCC_61,,Intermediate,,Heart disease ,,,,,Has heart disease,,,,,,,Health status,,Chronic disease,,Categorical,,N/A,,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,[CCC_61],,,,,,,,
CCC_63,,Intermediate,,Heart attack,,,,,Ever had a heart attack,,,,,,,Health status,,Chronic disease,,Categorical,,N/A,,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,[CCC_63],,,,,,,,
CCC_81,,Intermediate,,Stroke,,,,,Suffers from the effects of a stroke,,,,,,,Health status,,Chronic disease,,Categorical,,N/A,,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,[CCC_81],,,,,,,,
CKD,,Predictor,,Chronic kidney disease,,,,,Chronic kidney disease (categorized by GFR),,,,,,,Health status,,Chronic disease,,Categorical,,N/A,,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,[GFR],,,,,,,,
CLC_AGE,,Predictor,,Age,,,,,Age at clinic visit,,,,,,,Demographics,,Age,,Continuous,,years,,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,[CLC_AGE],,,,,,,,
CLC_SEX,,Predictor,,Sex,,,,,Sex,,,,,,,Demographics,,Sex,,Categorical,,N/A,,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,[CLC_SEX],,,,,,,,
Control14090,,Outcome,,Controlled hypertension 140/90,,,,,Controlled hypertension 140/90,,,,,,,Health status,,Hypertension,,Categorical,,N/A,,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,"DerivedVar::[BPMDPBPS, BPMDPBPD, ANYmed]",,,,,,,,
Control14090_adj,,Outcome,,Controlled (adjusted) hypertension 140/90,,,,,Controlled (adjusted) hypertension 140/90,,,,,,,Health status,,Hypertension,,Categorical,,N/A,,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,"DerivedVar::[SBP_adj, DBP_adj, ANYmed]",,,,,,,,
cycle,,N/A,,CHMS cycle,,,,,CHMS cycle,,,,,,,N/A,,N/A,,Categorical,,N/A,,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,DerivedVar::[data_name],,,,,,,,
DBP_adj,,Outcome,,Diastolic blood pressure (adjusted),,,,,Adjusted diastolic blood pressure measurement,,,,,,,Health status,,Blood pressure,,Continuous,,mmHg,,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,DerivedVar::[BPMDPBPD],,,,,,,,
DHHDHSZ,,Intermediate,,Household size,,,,,Household size - (D),,,,,,,Sociodemographics,,Income,,Continuous,,persons,,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,[DHHDHSZ],,,,,,,,
DHH_MS,,Predictor,,Marital status,,,,,Marital status,,,,,,,Sociodemographics,,Marital status,,Categorical,,N/A,,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,[DHH_MS],,,,,,,,
diabX,,Predictor,,Diabetes prevalance (inclusive),,,,,Diabetes prevalence based on more inclusive classification,,,,,,,Health status,,Chronic disease,,Categorical,,N/A,,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,"DerivedVar::[diab_m, diab_drug, CCC_51]",,,,,,,,
diab_drug,,Intermediate,,Diabetes medication,,,,,Taking diabetes drugs,,,,,,,Health status,,Medication,,Categorical,,N/A,,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,"DerivedVar::[MEUCATC, NPI_25B]",,,,,,,,
diab_m,,Predictor,,Diabetes prevalence based on HbA1C,,,,,Diabetes prevalence based on HbA1C level,,,,,,,Health status,,Chronic disease,,Categorical,,N/A,,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,[LAB_HBA1],,,,,,,,
DIURmed,,,,Diuretics,,,,,Taking diuretics,,,,,,,Health status,,Medication,,Categorical,,N/A,,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,"DerivedVar::[MEUCATC, NPI_25B]",,,,,,,,
EDUDR04,,Predictor,,Highest education level,,,,,"Highest level of education - respondent, 4 levels - (D)",,,,,,,Sociodemographics,,Education,,Categorical,,N/A,,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,[EDUDR04],,,,,,,,
FamBP,,Predictor,,Hypertension family history,,,,,Immediate family member ever had high blood pressure (3 categories),,,,,,,Health status,,Family history,,Categorical,,N/A,,"cycle1, cycle2, cycle3, cycle4",,,,,[FMH_15],,,,,,,,
famCVD60,,Predictor,,Premature CVD family history,,,,,Immediate family member ever had premature CVD (before age 60),,,,,,,Health status,,Family history,,Categorical,,N/A,,"cycle1, cycle2, cycle3, cycle4",,,,,"DerivedVar::[FMH_11, FMH_12, FMH_13, FMH_14]",,,,,,,,
FMH_11,,Intermediate,,Heart disease family history,,,,,Immediate family member diagnosed with heart disease,,,,,,,Health status,,Family history,,Categorical,,N/A,,"cycle1, cycle2, cycle3, cycle4",,,,,[FMH_11],,,,,,,,
FMH_12,,Intermediate,,Youngest age of family heart disease,,,,,Youngest age - immediate family member diagnosed with heart disease,,,,,,,Health status,,Family history,,Continuous,,years,,"cycle1, cycle2, cycle3, cycle4",,,,,[FMH_12],,,,,,,,
FMH_13,,Intermediate,,Stroke family history,,,,,Immediate family member ever had stroke,,,,,,,Health status,,Family history,,Categorical,,N/A,,"cycle1, cycle2, cycle3, cycle4",,,,,[FMH_13],,,,,,,,
FMH_14,,Intermediate,,Youngest age of family stroke,,,,,Youngest age - immediate family member had stroke,,,,,,,Health status,,Family history,,Continuous,,years,,"cycle1, cycle2, cycle3, cycle4",,,,,[FMH_14],,,,,,,,
FMH_15,,Predictor,,Hypertension family history,,,,,Immediate family member ever had high blood pressure,,,,,,,Health status,,Family history,,Categorical,,N/A,,"cycle1, cycle2, cycle3, cycle4",,,,,[FMH_15],,,,,,,,
GENDHDI,,Predictor,,Self-rated health,,,,,Self-rated health,,,,,,,Health status,,General,,Categorical,,N/A,,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,[GENDHDI],,,,,,,,
GENDMHI,,Predictor,,Self-rated mental health,,,,,Self-rated mental health,,,,,,,Health status,,General,,Categorical,,N/A,,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,[GENDMHI],,,,,,,,
GEN_040,,Predictor,,Work stress,,,,,Self-perceived work stress	,,,,,,,Health status,,General,,Categorical,,N/A,,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,"cycle1::GEN_17, cycle2::GEN_17, cycle3::GEN_17, cycle4::GEN_17, [GEN_040]",,,,,,,,
GEN_045,,Predictor,,Sense of belonging,,,,,Sense of belonging to local community,,,,,,,Health status,,General,,Categorical,,N/A,,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,"cycle1::GEN_18, cycle2::GEN_18, cycle3::GEN_18, cycle4::GEN_18, [GEN_045]",,,,,,,,
GEN_055,,Predictor,,Family doctor,,,,,Family doctor,,,,,,,Health status,,General,,Categorical,,N/A,,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,"cycle1::GEN_20, cycle2::GEN_20, cycle3::GEN_20, cycle4::GEN_20, [GEN_055]",,,,,,,,
GFR,,Predictor,,Estimated glomerular filtration rate,,,,,Estimated GFR - according to Finlay - where serum creatine is in mg/dL,,,,,,,Health status,,Chronic disease,,Continuous,,mL/min,,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,"DerivedVar::[LAB_BCRE, PGDCGT, CLC_SEX, CLC_AGE]",,,,,,,,
GFVD17Y,,Intermediate,,Fruit consumption in year,,,,,Eats fruit - times per year - (D),,,,,,,Health behaviour,,Diet,,Continuous,,times/year,,"cycle1, cycle2",,,,,[GFVD17Y],,,,,,,,
GFVD17AY,,Intermediate,,Citrus consumption in year,,,,,Eats citrus fruit - times per year - (D),,,,,,,Health behaviour,,Diet,,Continuous,,times/year,,"cycle3, cycle4, cycle5, cycle6",,,,,[GFVD17AY],,,,,,,,
GFVD17BY,,Intermediate,,Strawberry consumption in summer,,,,,Eats strawberries - times per summer,,,,,,,Health behaviour,,Diet,,Continuous,,times/summer,,"cycle3, cycle4, cycle5, cycle6",,,,,[GFVD17BY],,,,,,,,
GFVD17CY,,Intermediate,,Strawberry consumption outside summer,,,,,"Eats strawberries - times per year, excluding summer",,,,,,,Health behaviour,,Diet,,Continuous,,times/year,,"cycle3, cycle4, cycle5, cycle6",,,,,[GFVD17CY],,,,,,,,
GFVD17DY,,Intermediate,,Other fruit consumption in year,,,,,Eats other types of fruit - times per year - (D),,,,,,,Health behaviour,,Diet,,Continuous,,times/year,,"cycle3, cycle4, cycle5, cycle6",,,,,[GFVD17DY],,,,,,,,
GFVD18Y,,Intermediate,,Tomato consumption in year,,,,,Eats tomatoes or tomato sauce times/year - (D),,,,,,,Health behaviour,,Diet,,Continuous,,times/year,,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,[GFD18Y],,,,,,,,
GFVD19Y,,Intermediate,,Salad consumption in year,,,,,Eats lettuce or green leafy salad - times per year - (D),,,,,,,Health behaviour,,Diet,,Continuous,,times/year,,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,[GFD19Y],,,,,,,,
GFVD20Y,,Intermediate,,Spinach/mustards/cabbage eaten in year,,,,,"Eats spinach, mustard greens, cabbage - times per year - (D)",,,,,,,Health behaviour,,Diet,,Continuous,,times/year,,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,[GFD20Y],,,,,,,,
GFVD22Y,,Intermediate,,Potato consumption in year,,,,,Eats other potatoes - times per year - (D),,,,,,,Health behaviour,,Diet,,Continuous,,times/year,,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,[GFD22Y],,,,,,,,
GFVD23Y,,Intermediate,,Other vegetable consumption in year,,,,,Eats all other types of vegetables - times per year - (D),,,,,,,Health behaviour,,Diet,,Continuous,,times/year,,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,[GFD23Y],,,,,,,,
highBP14090,,Outcome,,Hypertensive 140/190,,,,,Hypertensive 140/90 - using general population criteria,,,,,,,Health status,,Hypertension,,Categorical,,N/A,,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,"DerivedVar::[BPMDPBPS, BPMDPBPD, ANYmed]",,,,,,,,
highBP14090_adj,,Outcome,,Hypertensive (adjusted) 140/190,,,,,Hypertensive (adjusted) 140/90 - using general population criteria,,,,,,,Health status,,Hypertension,,Categorical,,N/A,,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,"DerivedVar::[SBP_adj, DBP_adj, ANYmed]",,,,,,,,
HWM_11CM,,Predictor,,Height,,,,,Sitting height measured (centimetres),,,,,,,Health status,,Height,,Continuous,,cm,,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,[HWM_11CM],,,,,,,,
